puesto_estandarizado,nombre_empresa,ubicacion,modalidad,salario
Ejecutivo Ventas Software,FALABELLA CORPORATIVO PERÚ,,,
Ejecutivo Ventas Software,IDEAS APLICADAS SA,,,
Ejecutivo Ventas Software,,,,
Ejecutivo Ventas Software,Grupo Intercorp,,,
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,"S/. 1.000,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,DC Grupo Inmobiliario,,,
Ejecutivo Ventas Software,Salesland Pacífico,,Presencial y remoto,
Ejecutivo Ventas Software,DENTOSHOP S.A.C.,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,MODASA,,,
Ejecutivo Ventas Software,OLC Ingenieros EIRL,,,
Ejecutivo Ventas Software,ARGACORP S.A.C.,,,
Ejecutivo Ventas Software,Grupo OIS,,,"S/. 1.200,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,
Ejecutivo Ventas Software,KURIA COOP,,,
Ejecutivo Ventas Software,KURIA COOP,,,
Ejecutivo Ventas Software,CLIMAPOWER,,,
Ejecutivo Ventas Software,Clinica Internacional SA,,,
Ejecutivo Ventas Software,Clinica Internacional SA,,,
Ejecutivo Ventas Software,Sef Peru Holding SAC,,,
Ejecutivo Ventas Software,Adecco Perú S.A.,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,,,,
Ejecutivo Ventas Software,Digital Max,,,"S/. 1.430,00 (Mensual)"
Ejecutivo Ventas Software,LULLI & ASOCIADOS S.A.C. - ENLACE Talento - Trabajo - Desarrollo,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,CA Sistemas Empresariales SAC,,,
Ejecutivo Ventas Software,MOTORLINK S.A.C.,,,
Ejecutivo Ventas Software,FALABELLA CORPORATIVO PERÚ,,,
Ejecutivo Ventas Software,Grupo Pecuario S.A.C,,,
Ejecutivo Ventas Software,KOMATSU - MITSUI MAQUINARIAS,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,APPARKA,,,
Ejecutivo Ventas Software,Centro Nacional de Servicios - CNS,,,"S/. 1.700,00 (Mensual)"
Ejecutivo Ventas Software,Centro Nacional de Servicios - CNS,,Presencial y remoto,"S/. 1.699,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Bigmond Group,,,
Ejecutivo Ventas Software,GRUPO PROGESTION,,,"S/. 2.200,00 (Mensual)"
Ejecutivo Ventas Software,LASER PRODUCTS EIRL,,,
Ejecutivo Ventas Software,Los Portales,,,
Ejecutivo Ventas Software,SANITAS PERU,,,
Ejecutivo Ventas Software,MOTORLINK S.A.C.,,,
Ejecutivo Ventas Software,MOTORLINK S.A.C.,,,
Ejecutivo Ventas Software,Mibanco - Banco de la Microempresa,,,
Ejecutivo Ventas Software,FALABELLA CORPORATIVO PERÚ,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Terres Magiques des Incas EIRL,,,
Ejecutivo Ventas Software,,,,
Ejecutivo Ventas Software,Grupo OIS,,,"S/. 1.200,00 (Mensual)"
Ejecutivo Ventas Software,ESE PERU S.A.C.,,,"S/. 5.000,00 (Mensual)"
Ejecutivo Ventas Software,Manpower,,,
Ejecutivo Ventas Software,Clinica Internacional SA,,,
Ejecutivo Ventas Software,KURIA COOP,,,
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Automatizate Negocios,,,"S/. 1.130,00 (Mensual)"
Ejecutivo Ventas Software,Exige Industrial S.A.C.,,,"S/. 2.000,00 (Mensual)"
