puesto_estandarizado,empresa,ubicacion,modalidad,salario_estimado
Monitor de GPS con o sin experiencia,CORPORACIÓN DE TRANSPORTES CARLEY SOCIEDAD ANONIMA CERRADA,,,
Promotora de Salud  con experiencia,Berman Lab,,,
Biólogo o microbiólogo,Berman Lab,,,
Líder Técnico  SAP,,,,
"Docente Pregrado Eval nutricional y crecimiento y desarrollo, Fisiología y nutrición en el ejercicio",Universidad de Ciencias y Humanidades,,,
Asesor de Negocios Con/Sin Experiencia Agencia Puerto Bermúdez,Caja Huancayo,,,
Analista de Desarrollo de Modelos Estadísticos,Caja Cencosud Del Grupo Scotiabank,,Presencial y remoto,
"Docente Pregrado Promoción de estilos de vida saludables, Nutrición Humana I",Universidad de Ciencias y Humanidades,,,
Asistente de datos,Grupo Vanguard Internacional,,,
Ingeniero Preventa / Networking,,,,
Jefe de Ti,,,,
Coordinador de Proyectos,PARTNERS TECHNOLOGY S.A.C.,,,
Analista de Desarrollo Programador,Fondesurco,,,
Practicante Profesional de Compras,,,,
Docente de Pregrado Química Orgánica e Inorgánica,Universidad de Ciencias y Humanidades,,,
Ate: Planner de Servicios,RD Rivera Diesel S.A.,,,
analista programador,T-ID SOLUTIONS SAC,,Presencial y remoto,
Jefe de Prácticas en Nutrición Comunitaria,Universidad de Ciencias y Humanidades,,,
Analista de Bases de Datos y Modelado – SQL,Atento Perú,,Presencial y remoto,
Oficial Aeroportuario / Sueldo S/. 2400/Régimen acuartelado 14x7/ Huamachuco/ La Libertad,Prosegur,,,
Asistente de Soporte de Aulas,inLearning Escuelas de Educación Superior,,,
analista calidad,T-ID SOLUTIONS SAC,,Presencial y remoto,
Docente Pregrado Morfofisiología I y II,Universidad de Ciencias y Humanidades,,,
Analista de Automatización y Datos – Python y PySpark,Atento Perú,,,
Asistente de Soporte Técnico,,,,
Capitán de mozos y Jefe de restaurante,Eurofirms Perú,,,
Administrador de Base de Datos,T-ID SOLUTIONS SAC,,Presencial y remoto,
Analista en Power BI,Atento Perú,,Presencial y remoto,
Técnico de Soporte Junior,Alternativa Tecnologica SAC,,,
Jefe de Prácticas en Morfofisiología II,Universidad de Ciencias y Humanidades,,,
Asistente de Gestión Documentaria / Temporal,Arch Latam,,,
analista de logística,Apex America Perú,,,
UPN: Asistente de Operaciones de Sede / Campus Los Olivos,Laureate,,,
Conductor,HARD RENTAL,,,
Admisionista,KAORI SERVICIOS S.A.C.,,,
Coordinador/Auditor ISO 27001 9001,TRUSTCORP SAC,,Presencial y remoto,
Asistente de Infraestructura y seguridad de la información,T-ID SOLUTIONS SAC,,Presencial y remoto,
"Tecnico Instalador de Internet, Telefonía y Cable",Niza Régión Sur S.A.C.,,,
Operador de Base de Datos Oracle/Híbrido/La Victoria,GREEN SOLUTIONS GROUP,,Presencial y remoto,
Analista Backend .Net,Grupo Suiza Lab,,,
Especialista en Digitalización y Archivo / Temporal,Arch Latam,,,
Experiencia en Servidores: Supervisor o Product Manager Comercial/   para marcas como HP o  ASUS.,,,,
Operador de Sistemas,Canvia,,Presencial y remoto,
Analista programador,,,,
Especialista de Soporte Técnico en Redes y servidores,,,,
Técnico en Telecomunicaciones / Licencia A1,INNOVABILIDAD GROUP E.I.R.L.,,,
Personal con Ingles Intermedio/Avanzado,,,,
Ejecutivo comercial,Grupo OIS,,,
Asistente de Soporte Técnico,HARD RENTAL,,,
Analista Programador de aplicaciones WEB,,,Presencial y remoto,
Jefe (a) del Departamento de Logística,,,,
Asistente de Sistemas,,,,
Analista de soporte técnico / Domino's Pizza,DOMINOS PIZZA PERU,,,
Operador de Camaras,TEXTILES OLINDA S.A.C.,,,
Auxiliar de TI,Dominion Perú SAC,,,
Coordinador de Operaciones tecnicas,T-ID SOLUTIONS SAC,,Presencial y remoto,
Clasificado por Reglas,Cobraperu S.A.,,,
"Técnico Instalador de Internet, Telefonía y Cable",Niza Régión Sur S.A.C.,,,
Técnico(a) de Farmacia Hospitalaria,Clínica Javier Prado,,,
Administrador de Sistemas Windows,Canvia,,Presencial y remoto,
Admisionista Ambulatoria /  Atención al cliente.,JOCKEY SALUD,,,
Analista Programador Senior Full Stack,Atento Perú,,,
Clasificado por Reglas,Llamagas,,,
Asistente de Ciberseguridad,NATU PERU,,,
Coordinador  de flota,Alo Taxi,,,
Back Office Documentario / Temporal,Arch Latam,,,
"Supervisor o Product Manager Comercial  para DELL,   ASUS.",,,,
"Técnico de Soporte de Sistemas, Helpdesk para Clínica cercado  Lima",Clínicas Maison de Sante,,,
Técnico experto en impresoras,Consutic,,,
Coordinador Junior TI,,,,
Técnico de Soport Pc y Printer,High Techno World,,,
Reparación de celulares Puerto Maldonado (con o sin experiencia),Ceva Logistics Perú S.R.L.,,,
Financiera oh! Se requiere Ejecutivo de Ventas Plaza Vea Puno/ Sin experiencia,Grupo Intercorp,,,
Atención al cliente y ventas Mall de Comas,Aadaru,,,
Escuela de Negocios MiBanco/ Ag. Los Olivos / MiBanco / Movilidad + Comisiones  + Utilidades,Adecco Perú S.A.,,,
Controlador de Riego,Mission Produce Perú,,,
Ingeniero de sistemas,,,,
Gestor de Venta Credijoya: Tienda Cajamarca,CAJA TRUJILLO,,,
Asesor de Negocios  Con / Sin Experiencia Agencia Aguaytía,Caja Huancayo,,,
Auxiliar de negocios regionales  (Lurín),Caja Huancayo,,,
Asesor de Negocios Con Experiencia Agencia Chilca ( Cañete ),Caja Huancayo,,,
señorita para asistente administrativo,ELIAS CAPELLAN,,,
Asesor de Negocios / Sede ATE,CAJA TRUJILLO,,,
Administrador de Redes y Comunicaciones Senior,SALOG,,,
Coordinador de Logística,ASOCIACION CIVIL CLUB NAUTICO POSEIDON,,,
Técnico de Soporte TI,SENATI,,,
Practicante contable,Gatuario,,,
Ejecutivo Comercial Repuestos / Rubro Automotriz,Arch Latam,,,
Encargado de Ssoma,,,,
Asistente Administrativo,EULEN del Perú,,,
Soporte Técnico/La Victoria/Temporal,GREEN SOLUTIONS GROUP,,,
Analista de Repuestos / Rubro Automotriz,Arch Latam,,,
Practicante Profesional de Desarrollo de Software y PMO,WIN,,,
Jefe de operaciones / Tacna,,,,
Asistente de Soporte Técnico,Hiraoka,,,
Asesor Senior / Rubro Automotriz,Arch Latam,,,
Coordinador de Cuenta con Experiencia en Prevención de Perdidas Retail y Seguridad Patrimonial,Iseg Perú S.A.C,,,
Supervisor de Cuenta con Experiencia en Prevención de Perdidas Retail,Iseg Perú S.A.C,,,
Se solicitan docentes,,,Presencial y remoto,
Analista Programador especialista en PL SQL Sector Educacional o Banca,Grupo Expro,,Presencial y remoto,
Analista Programador Power Builder Sector Educacion o Banca,Grupo Expro,,Presencial y remoto,
Vigilante por remplazo,Club Internacional Arequipa,,,
Analista TI,AB Technology S.A.C,,,
Auxiliar y Asistente de Presupuestos y Operaciones,Wesler S.A.C.,,,
Diseñadora Moda,Industrias Flomar SAC,,,
Asesora de Atención al Cliente,OSTEO PERU,,,
Asistente de Soporte Técnico,Ingenium,,,
"Técnico electricista de tableros y subestación eléctrica, grupo electrógeno y UPS",Wesler S.A.C.,,,
Auxiliar de Almacén / Experiencia Distribución,Solimano Asociados,,,
Gestor de Cobranza  Tienda Ayacucho,CAJA TRUJILLO,,,
Arquitecto de Datos Junior,PARQUE DEL RECUERDO,,Presencial y remoto,
Experto en Gobierno de Datos,PARQUE DEL RECUERDO,,Presencial y remoto,
Operador de Centro Control C/S Experiencia Tercio y Quinto Superior Residencia en Arequipa,TRANSPORTES LIBERTAD SAC,,,
auxiliar de reparto,VISUAL AMERICA DATA EIRL,,,
Asistente Ti,EUROFLEX PERU S.A.C.,,,
UPN: Asistente de Operaciones de Sede / SJL,Laureate,,,
Admisionista de Call Center Medio Tiempo,Hogar Clinica San Juan de Dios,,,
Consultor de Operaciones TI,Topstrategic  S.A.C.,,Presencial y remoto,
Científico de Datos,Adecco Perú S.A.,,Presencial y remoto,
Gestor de Servicios Volante  San Isidro,CAJA TRUJILLO,,,
Ejecutivo corporativo de soporte y atención,Adecco Perú S.A.,,,
Técnico de Mantenimiento Tecnológico,,,,
Técnico de Soporte Junior,Alternativa Tecnologica SAC,,,
Analista de Sistemas / Proyecto de Innovación con ERP,Topitop,,,
Programador SAP BO,,,,
"Nutricionista con experiencia en concensionario,",Newrest Peru SAC,,,
Asistente Programador,AGROFRUTOS,,,
Técnico FTTH,,,,
Consultor ERP/Spring,Software Enterprise Services SAC,,Presencial y remoto,
Analista QA/QC Senior,Software Enterprise Services SAC,,,
Laboratorista de Materias Primas,CAL & CEMENTO SUR S.A.,,,
Asistente de Cctv / Lima Norte,OCA GLOBAL PERÚ,,,
Especialista de Seguimiento,SENATI,,,
Tutor Academia Zárate,Empresa Educativa ZAVER SAC,,,
Analista QA/QC Junior,Software Enterprise Services SAC,,,
BCP / Asesor Outbound IO Senior,Adecco Perú S.A.,,,
Especialista en RRHH,PARTNERS TECHNOLOGY S.A.C.,,,
Docente a Tiempo Completo de Sistema de Información Empresarial,Universidad de Ciencias y Humanidades,,,
Admisionista,GRUPO CAMMEDI,,,
Auxiliar de almacén,,,,
Operador de Sistemas,Canvia,,,
Jefe de Proyecto  C/E  Call Center,,,,
Especialista en Licitaciones,,,,
Soporte Técnico,,,,
Clasificado por Reglas,Software Enterprise Services SAC,,,
Soporte TI Nivel 3 Remoto,,,,
Asistente Administrativo para rubro de ventas: Miraflores,PILSAC,,,
Asistente de operaciones,TERRANOVA TRADING S.A.C.,,,
UPN: Asistente de Soporte Técnico / ATE,Laureate,,,
vendedor autopartes,ELECTRONICA AUTOMOTRIZ ARMANDO,,,
Practicante Profesional Soporte TI,YC JOBS CONSULTING,,Presencial y remoto,
Operador de Telemarketing / Ventas para Rustica,RUSTICA,,,
Analista de Centro de Control,OCA GLOBAL PERÚ,,,
Técnico de soporte de dispositivos móviles y de cómputo,MCENTER,,,
Atencion al Cliente Recepcion,Súmate al Éxito,,,
Analista de Sistemas / Especialista en Soporte Tecnológico – Con experiencia en SAP BO,GHS PERU,,,
Asistente de Sistemas Presencial,Concyssa Industrial S.A.C,,,
Tecnólogo(a) Médica / Microbiología y Hematología,WORK & HEALTH,,,
Asistente de Centro de Control / Callao,Transportes y Comercio Sol Del Pacifico E.I.R.L,,,
Analista de Sistemas,Instituto de Alta Cocina D'Gallia,,,
Técnico de Soporte On Site,DMS Peru S.A.C,,,
Controlador(a),CONCESIONARIOS AUTORIZADOS S.A.C.,,,
Supervisor De Operaciones Ag. Trujillo,Caja del Santa S.A,,,
Técnico Mecánico Automotriz,Country Club de Villa A. C.,,,
Especialista de Riesgo Operacional y Continuidad del Negocio (24177),Informática Delta,,Presencial y remoto,
Auxiliar de almacén,,,,
Asistente de administración de almacenes,Trade Tools CIA S.A.C.,,,
Diseñador Gráfico,Magic Technologies,,,
Asistente Contable Pagos Arequipa,,,,
Clasificado por Reglas,Software Enterprise Services SAC,,,
Técnico Calidad Concreto,Mixercon S.A.,,,
Inspector de Control de Calidad  Arequipa,Nicoll Perú S.A,,,
Técnico Calidad Concreto,Mixercon S.A.,,,
Inspector de Control de Calidad  Arequipa,Nicoll Perú S.A,,,
Asistente de Negocios MiBanco/ Ag. Huachipa / MiBanco / Movilidad + Comisiones  + Utilidades,Adecco Perú S.A.,,,
Auxiliar de Archivo Digital/ Sector Salud/ San Isidro,Manpower,,Presencial y remoto,
Analista de calidad y entrenamiento,Apex America Perú,,,
Analista TI,Xentic S.A.C,,Presencial y remoto,
Operador de Base de Datos Oracle/Híbrido/La Victoria,GREEN SOLUTIONS GROUP,,Presencial y remoto,
Buscamos Asesor/a de Atención al Cliente y Ventas,Aadaru,,,
Líder de Proyectos de Tecnología y Transformación Digital (Cajamarca),Overall Strategy,,,
Digitadores y Digitalizadores en ICA Turno Tarde/Turno Noche,INDRA,,,
Asistente de Compras en Servicios Generales y  facilities/San Borja/Presencial,GREEN SOLUTIONS GROUP,,,
Auxiliar Administrativo / Exp. en Seguros / San Isidro,Adecco Perú S.A.,,,
Agente de ventas,,,,
Team Leader de Telecomunicaciones con Experiencia en Swap de antenas y gabinetes Lima,Manpower,,,
Operador de GPS o CCTV,TRC,,,
Ingeniero sistemas,ART M&R S.A.C.,,,
Helpdek   Soporte TI,Atlantic City,,,
Auxiliar de Biblioteca,,,,
Medico Ocupacional /  Huancayo / L a S 8am a 2pm,S.G NATCLAR SAC,,,
Coordinador de Producción,Grupo Vanguard Internacional,,,
Jefe de Líneas de Producción,Grupo Vanguard Internacional,,,
Practicante de Tecnología e Infraestructura (TI),Flesan del Peru SAC,,,
Urgente / Supervisor HSE / Lurin,EULEN del Perú,,,
Soporte Microinformático Jr. / Presencial / La Victoria,Canvia,,,
Asesor de Negocios Con Experiencia Agencia Villa María Del Triunfo,Caja Huancayo,,,
Asistente Logistico,,,,
Analista de Ciberseguridad,Valtx,,Presencial y remoto,
Arquitecto de Software Senior,Valtx,,Presencial y remoto,
Médico Asesor en soluciones tecnológicas,INDRA,,,
Supervisor de Redes y soporte Tecnológico,Universidad Continental,,,
Técnicos Junior de Telecomunicaciones con Experiencia en trabajos de altura,Manpower,,,
Tecnico de Telecomunicaciones Con exp en mantenimiento en estaciones base celulares Tingo Maria,Manpower,,,
Practicante de Administración de Personal,Marco Peruana,,,
Agente de Ventas Corporativo,Bitel,,,
Programador de Sistemas,,,,
técnico en ensamblaje de PC,Compuusa E.I.R.L,,,
Jefe de Sistemas,PROMHIL,,,
Security Advisor,Apuesta Total,,Presencial y remoto,
Admisionista,,,,
Analista de infraestructura,,,,
Tecnico de Telecomunicaciones Con exp en mantenimiento en estaciones base celulares La merced,Manpower,,,
Técnico de Telecomunicaciones Con Exp en Mantenimiento de Site Nodos  Con Licencia de conducir,Manpower,,,
Encargado de Tienda con Amplia Experiencia en Ventas,INNOVACION SOLAR PERU E.I.R.L.,,,
Ingeniero Cloud,Apuesta Total,,Presencial y remoto,
Auxiliar de Soporte Técnico y Sistemas / Arequipa,Estilos S.R.L.,,,
Programador/a de sistemas,LADRILLOS LARK,,,
Asistente Help desk,Financiera QAPAQ,,,
Coordinador de Importación e Innovación,,,,
Analista programador.python,Cantol S.A.C.,,,
Científico de datos,Grupo Educa_d,,Presencial y remoto,
Soporte IT y Análisis de Datos / Presencial / San Isidro,TALENTO GRUPO DC INTERNACIONAL PERU SOCIEDAD ANONIMA CERRADA,,,
Encargado de Tienda con Experiencia en Ventas,INNOVACION SOLAR PERU E.I.R.L.,,,
Asesor de Negocios Con Experiencia Agencia Mercado (Huancayo),Caja Huancayo,,,
Asesor de Negocios  Con / Sin Experiencia Sayán ( Huaura ),Caja Huancayo,,,
Asistente de Operaciones TI,Mission Produce Perú,,,
Practicante Profesional de Inteligencia Comercial / Tottus,FALABELLA CORPORATIVO PERÚ,,,
Técnico de Soporte Junior,Alternativa Tecnologica SAC,,,
técnico en ensamblaje de PC,Compuusa E.I.R.L,,,
Clasificado por Reglas,Vooxell,,,
Data Engineer,Software Enterprise Services SAC,,Presencial y remoto,
Asistente de Logística,GRUPO NATIONAL S.A.,,,
Financial Analyst,Apex America Perú,,,
técnico en ensamblaje de PC,Compuusa E.I.R.L,,,
"Asistente de Monitoreo, Transporte",SLI LOGISTICS S.A.C.,,,
Técnico/a de Farmacia,CLÍNICA UNIDERMA PERÚ,,,
Digitadores para Módulos de Atención al Asegurado en Instituciones de Salud,SILSA,,,
Operador de Monitoreo y Soporte TI,Apuesta Total,,Presencial y remoto,
Contador(a) General con experiencia en Odoo,CONSULTORIA Y ASESORIA EN TECNOLOGIA CONASTEC S.R.L.,,Presencial y remoto,
Asesor de ventas industriales,Fibrotecnia sac,,,
asesor/a en ventas,Tienda Lisol,,Presencial y remoto,
Contador corporativo,GALOI SOCIETY S.A.C.,,,
Técnico de Soporte Junior,Alternativa Tecnologica SAC,,,
Soporte Microinformático/ Presencial/ San Isidro,Canvia,,,
Gestor de Servicios: Zona Trujillo,CAJA TRUJILLO,,,
Líder Técnico / Tacna,,,,
Asistente de almacén,Grupo Fibrafil,,,
Asistente Programador  Web,,,,
Jefe de Mantenimiento Arequipa Transporte pesado,Hagemsa SAC,,,
Analista de Automatización de Procesos / Automatización y Control de Facturación y Cobranzas/ Phyton,WIN,,,
Técnico electrónico titulado,Consutic,,,
Asesor de Negocios  Tienda  Jose Bustamante y Rivero (Arequipa),CAJA TRUJILLO,,,
Urgente / Supervisor Ssoma / Vacacionero,EULEN del Perú,,,
Asistente de Cobranzas,M&M SERVICIOS MOTORIZADOS SAC,,,
Asistente de Facturación,M&M SERVICIOS MOTORIZADOS SAC,,,
Cibertec: Docente Tiempo Completo (24hrs) Carrera Administración de Datos,Laureate,,,
Analista de gobierno de datos,Grupo Educa_d,,Presencial y remoto,
Clasificado por Reglas,Llamagas,,,
"Ejecutivo de recuperaciones, Olmos",Mibanco - Banco de la Microempresa,,,
Oficial de Seguridad/ Experiencia con Rayos X en aeropuertos/ Acuartelado 14x7/ La Libertad,Prosegur,,,
Programador Dynamics 365 Business Central,Tumi Contratistas Mineros SAC,,,
Asistente de Seguridad y Salud en el Trabajo,,,,
Técnico en Farmacia / San Isidro,CLINICA ANGLOAMERICANA,,,
Jefe de Prácticas en Neuropsicología,Universidad de Ciencias y Humanidades,,,
Asistente de Monitoreo GPS / La Victoria,Shalom Empresarial S.A.C.,,,
Practicante TIC Arequipa Rubro Transporte de Carga Pesada,Hagemsa SAC,,,
Auxiliar de control de gestión,Iseg Perú S.A.C,,,
Coordinador de Operaciones  Almacen,SALOG,,,
Jefe de Sistemas,,,,
Estamos buscando almacenero del Rubro Construcción,SKY ANDAMIOS & ELEVADORES,,,
"Analista Junior de Infraestructura TI, (Linux)",,,,
Asesor de Negocios Moquegua,CAJA TRUJILLO,,,
"Docente Pregrado Probs de Aprend del Cálculo y la Lectoescritura, y Probs de Apre en la Infancia II",Universidad de Ciencias y Humanidades,,Presencial y remoto,
Practicante Profesional de Centro de Distribución,DP World Logistics S.R.L,,,
Especialista de Soporte Técnico – Service Desk / Cercado de lima,Canvia,,,
Medico Ocupacional,Grupo Vega,,,
"Promotor(a) de ventas de laptop, notebook marcas como: AMD, ASUS, Lenovo",,,,
"Analista de créditos  Pyme / Oficinas: Trujillo, Viru, Huamachuco y Pacasmayo.",Cooperativa de Ahorro y Crédito León XIII,,,
Estamos buscando encargado de Ssoma,SKY ANDAMIOS & ELEVADORES,,,
Analista Semi Senior de Data Science,Well HR,,Presencial y remoto,
Asistente de Soporte de Infraestructura y Redes,C.M. Y S.,,,
Recepcionista,BELMOND   PERÚ,,,
Ejecutiva de Reservas Idioma Italiano,Andean Amazon Travel,,Presencial y remoto,
Ejecutivo(a) de Ventas,ARGACORP S.A.C.,,,
Asistente logistico,,,,
Analista de Inteligencia de Datos,RECSA PERÚ,,,
Asistente Contable,,,,
Atención al Cliente Sala de Operaciones,,,,
Analista de Control de Presupuesto y Adquisiciones,Zeus Energy S.A.C.,,,
Ejecutivo Comercial,OLC Ingenieros EIRL,,,
Asistente de Soporte Técnico,oltursa,,,
Asistente Contable,Clinica Montesur,,,
Clasificado por Reglas,,,,
Asesor Comercial para Corporativo,Comsitec SAC,,,
Auxiliar de TI /redes.,Cinépolis,,,
Promotor Comercial,Inti Raymi S.A.,,,
Analista de crédito Calca,CAC SANTO DOMINGO DE GUZMAN L,,,
Analista de créditos  Consumo y  Convenios: Oficina  Principal,Cooperativa de Ahorro y Crédito León XIII,,,
Analista junior de inteligencia comercial /consumo masivo/Comas,Grupo Vega,,,
Analista de Mesa de Ayuda Nivel 2,Centro Nacional de Servicios - CNS,,,
Soporte técnico,COMSERTRAN S.A.C.,,,
Practicante Mobile Android S/1300,,,Presencial y remoto,
Analista de Riesgo Operacional,Cooperativa de Ahorro y Credito Los Andes,,,
Admisionista en Plataforma/ Turnos Rotativos,Clínica San Antonio,,,
Asesor de Productos en Tienda Movistar Zona Norte ¡Trabaja con nosotros!,Aadaru,,,
Técnico Mecánico Automotriz,D.D.P. S.A.,,,
Ejecutivo/ Formador de flota,Alo Taxi,,,
Técnico de Soporte TI / 14x7,San Martin Contratistas Generales S.A,,,
Ejecutiva de Eventos,,,,
Técnico de Operaciones Mina,LETMAN,,,
Ejecutivo comercial,Grupo Pecuario S.A.C,,,
Asistente contabilidad,PROSERING SRLTDA,,,
asistente de almacen,,,,
Analista de Soporte de TI,,,,
Agencia de Aduanas busca : Asistente de Archivo Aduanero,,,,
Técnico Electrónico,High Techno World,,,
Analista de Performance,Grupo AUNA,,,
Financiera oh! Ejecutivo de Ventas Plaza Vea Ilo,Grupo Intercorp,,,
Financiera oh! Ejecutivo de Ventas Plaza Vea Bolichera,Grupo Intercorp,,,
Asistente Administrativa Puente Piedra,CITVGRUPO J&J S.A.C.,,,
Auxiliar de legajos de personal,Manpower,,Presencial y remoto,
Analista de Ciberseguridad/ Ciberinteligencia,LIDERMAN,,,
Docentes de Ingeniería de Sistemas/ Software / Lima,Universidad Privada del Norte S.A.C.,,,
Movistar Ayacucho ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,Aadaru,,,
Auxiliar de Soporte de Aulas,inLearning Escuelas de Educación Superior,,,
